3896	3904	0.105597
3896	8727	0.105597
3904	8727	0.140795
3896	8665	0.211193
3904	8665	0.246392
8665	8727	0.246392
964	7448	0.334001
7448	9562	0.467602
964	9562	0.534402
7108	7402	0.534402
7368	7448	0.534402
964	7368	0.601202
7108	7179	0.601202
7368	9562	0.601202
1501	7448	0.668003
7179	7284	0.668003
1580	7448	0.717703
964	1501	0.734803
1501	7368	0.801603
7108	7284	0.801603
7179	7402	0.801603
1176	7448	0.833333
1501	9562	0.868403
964	1580	0.877193
1580	7368	0.877193
1580	9562	0.877193
1580	3896	0.956938
1580	3904	0.956938
964	1176	1.0
1324	7489	1.002004
7284	7402	1.002004
1580	8727	1.036683
964	3678	1.068804
1077	7448	1.075269
7448	7480	1.075269
3896	9562	1.091165
3904	9562	1.091165
7448	8832	1.116427
8727	9562	1.126364
3678	7448	1.135605
964	1077	1.152074
964	7480	1.152074
1176	7368	1.166667
964	8832	1.196172
1501	1580	1.196172
3896	8832	1.196172
3904	8832	1.196172
5627	7179	1.196172
5627	7284	1.196172
1077	3896	1.228879
1077	3904	1.228879
3896	7480	1.228879
3904	7480	1.228879
3691	3896	1.231961
3691	3904	1.231961
3691	8727	1.231961
8665	9562	1.231961
1176	1501	1.25
1176	9562	1.25
964	3459	1.269205
1580	8665	1.275917
5798	7179	1.275917
5798	7284	1.275917
8727	8832	1.275917
7084	9550	1.302358
1077	7368	1.305684
1077	8727	1.305684
7368	7480	1.305684
7480	8727	1.305684
964	3426	1.336005
3459	7448	1.336005
3678	9562	1.336005
6986	9562	1.337557
5627	7108	1.355662
3691	8665	1.372756
1077	9562	1.382488
7480	8665	1.382488
7480	9562	1.382488
3426	7448	1.402806
3459	3678	1.402806
3678	7368	1.402806
6986	9550	1.407955
5627	7480	1.435407
5627	7489	1.435407
5798	7108	1.435407
7368	8832	1.435407
8832	9562	1.435407
1077	1501	1.459293
7179	7480	1.459293
7284	7480	1.459293
1188	1324	1.469606
3459	9562	1.469606
6986	7448	1.469606
9550	9562	1.478353
